area_id,population_density,dwellings_density,balance_services,transport_density
102011028,11.78937558,3.611369991,0.16802168,
102011029,3.423923206,1.198965281,0.114663727,
102011030,0.063037876,0.020509121,0.06261343,
102011031,4.213002693,1.316840766,0.161464586,
102011032,11.46227531,3.76833018,0.182502352,
102011033,7.87382615,2.196002889,0.127840909,
102011034,6.14442882,1.609727852,0.17954071,
102011035,8.897688912,2.604518307,0.126712329,
102011036,4.884652164,1.401506096,0.119496855,
102011037,9.25445705,3.270959187,0.131410256,
102011038,15.05243289,4.962248322,0.102880658,
102011039,13.89927773,4.40981498,0.209474463,
102011040,9.612731885,2.988742667,0.146261298,
102011041,7.512024486,2.147646116,0.135281385,
102011042,8.223038512,2.470297882,0.162083936,
102011043,13.91122778,3.900489202,0.197530864,
102021044,20.68600368,6.391344383,0.116908213,
102021045,5.417540515,1.72735939,0.075862069,0.32602478551000953289
102021046,10.30578424,3.900352828,0.111428571,
102021047,6.407200294,2.019266092,0.100603622,
102021048,20.06133879,6.722375322,0.142156863,
102021049,0.101509375,0.028059268,0.074358974,
102021050,3.125228905,1.197915199,0.106132075,
102021051,0.437796297,0.115407871,0.138952164,
102021052,6.432073211,2.33467698,0.090592334,
102021053,11.12426036,3.195266272,0.162,
102021054,9.591332446,3.048850029,0.175170068,
102021055,1.967966674,0.509947569,0.105858171,
102021056,3.815574726,1.022849149,0.140625,
102021057,6.062662143,1.865895031,0.170542636,
115011290,29.33317285,7.532498796,0.136170213,
115011291,19.53479887,4.783362218,0.143774069,
115011294,8.943437975,2.333010649,0.11548913,
115011296,16.91659216,4.525482182,0.129075183,
115011553,19.253192,5.386653818,0.107598447,
115011554,27.43725869,7.186293436,0.154241645,
115011555,18.2083639,4.836390315,0.155902004,
115011556,24.15213178,6.71996124,0.167664671,
115011557,32.81173594,8.037897311,0.121153846,
115011558,23.65531451,5.892619076,0.145478375,
115011559,23.59834602,5.753218682,0.136853448,
115021297,0.584308947,0.156804577,0.088514798,
115021298,0.280543978,0.081847062,0.090686275,
115031299,0.012735168,0.003971928,0.070769231,
115031300,0.676299533,0.201295766,0.072427984,
115041301,1.353001766,0.378041005,0.062885327,
115041302,6.810732692,1.472472936,0.114670381,
116011303,22.40501567,6.32476489,0.115135834,
116011304,25.71312475,6.6544765,0.101499423,
116011306,24.45969125,5.973161134,0.120654397,
116011307,21.88559322,6.741525424,0.063306955,
116011308,22.65375346,5.518164777,0.131806931,
116011560,38.52039297,8.454897291,0.092669433,
116011561,35.99786096,8.909090909,0.106024096,
116021309,32.69974604,8.364915022,0.120550162,
116021310,35.09630083,7.640884541,0.13705104,
116021312,2.728245678,0.612810214,0.068022886,
116021562,41.23548046,2.872228089,0.140077821,
116021563,30.85993821,3.554325438,0.1035313,
116031313,31.07793273,7.786710418,0.099056604,
116031314,16.83647676,4.472097997,0.07,
116031315,34.53505238,8.174053183,0.081433225,
116031316,19.52338688,5.235643916,0.096551724,
116031317,27.18857932,6.047662906,0.121478873,
116031318,0.013032712,0.001629089,0.022,
116031319,14.98358862,3.46143326,0.100502513,
117011320,0.062351544,0,0.019559902,
117011321,34.03963859,7.799475372,0.095092025,
117011322,43.90592052,13.21978913,0.1,
117011323,38.78486694,10.70856044,0.147091109,
117011324,0.024964337,0,0.044444444,
117011325,0.226686118,0,0,
117021326,48.55152245,13.30638225,0.134448376,
117021327,72.03796204,16.47352647,0.19353156,
117021328,21.95381422,4.558899844,0.113155474,
117031329,144.8541424,45.67094516,0.254867257,
117031330,41.25462963,10.125,0.126476072,
117031331,93.79669852,22.03735882,0.219125683,
117031332,83.66351722,15.48003657,0.291018998,0.21944529106979579397
117031333,163.1871145,59.97943797,0.186151705,
117031334,161.5224681,50.96579477,0.127892194,
117031335,118.0674988,33.4257975,0.170638298,
117031336,137.2644377,38.29787234,0.165271967,
117031337,72.23386909,20.87817377,0.088568946,
117031338,105.9173415,35.02932142,0.13205449,0.23457134878525551522
118011339,81.37019231,23.68990385,0.181859826,
118011340,93.33197887,26.35514019,0.175145631,
118011341,72.58818866,17.35632184,0.20624152,
118011342,0.015159171,0,0,
118011343,57.29529062,19.48875689,0.171052632,
118011344,61.90807055,18.61036879,0.154045307,
118011345,44.71677852,7.55704698,0.171335769,
118011346,24.7838785,7.141744548,0.157948718,
118011347,64.3715847,15.30054645,0.176300578,
118021348,72.28623566,22.07247132,0.19322166,
118021350,22.06765328,4.97167019,0.133333333,
118021564,61.66161998,16.16199849,0.220512821,
118021565,83.71400199,23.54021847,0.222222222,
118021566,57.63114301,15.1960243,0.160515021,
118021567,54.78934625,15.75786925,0.171428571,
118021568,53.75855327,14.33040078,0.18707483,
118021569,93.0785124,29.04442149,0.15995116,
118021570,42.211681,11.62763119,0.298145506,
119011354,25.96904441,6.212427097,0.116847826,
119011355,3.024691358,0.456790123,0.03655914,
119011356,12.17512995,2.195121951,0.058583106,
119011357,39.51303351,7.330277857,0.091382766,
119011358,26.45106775,6.498694116,0.096989967,
119011359,18.67347648,4.669585157,0.114097969,
119011360,33.50873748,7.402316906,0.119885823,
119011361,39.26978417,9.224820144,0.089499648,
119011571,63.18132069,16.62531923,0.141836174,
119011572,38.33597106,8.912502826,0.105474636,
119021362,44.5879486,11.87195392,0.098519362,
119021363,68.87191293,18.43030557,0.110859729,
119021364,30.73762497,8.591806876,0.103100486,
119021366,41.81280976,9.166984369,0.073238139,
119021367,39.22380691,9.821722436,0.082262211,
119021573,83.63968907,21.42203932,0.089552239,
119021574,79.1816224,21.07681263,0.054945055,
119031368,70.71978022,18.38186813,0.141377005,
119031369,41.19522564,11.55330281,0.140779523,
119031370,43.0168092,11.07637865,0.144899905,
119031371,30.77152698,8.78989667,0.137840211,
119031372,25.69371552,6.584578119,0.075229358,
119031373,43.27082582,13.05445366,0.159375,
119031374,40.69931189,10.9393503,0.133663366,
119041375,49.81574204,13.24053675,0.102436323,
119041376,53.42932929,12.74346343,0.100844278,
119041377,35.55056773,10.21653024,0.152766309,
119041378,55.07207207,16.08558559,0.226027397,
119041379,48.3671139,14.95575221,0.119314436,
119041380,44.18934911,13.75443787,0.126192223,
119041381,60.74384787,17.03020134,0.112279025,
119041382,37.06201214,10.0954033,0.144945189,
120011383,36.50735876,10.78018674,0.160569888,
120011384,52.48285322,16.39623751,0.156283375,
120011385,52.32118758,16.634278,0.164616037,
120011386,46.95238095,14.71861472,0.15483871,
120021387,65.30983734,9.659178931,0.190556492,
120021388,63.51073345,10.12969589,0.200896861,
120021389,42.04217536,7.866259711,0.164170826,
120031390,71.1852861,21.44414169,0.161273754,
120031391,59.03405297,15.69775206,0.167673282,
120031392,37.73117569,10.87516513,0.132336018,
120031393,45.14983631,10.73784941,0.11025641,
120031394,66.26202813,21.36195411,0.155787641,
120031395,40.95251799,12.08633094,0.202238806,
120031396,46.34400208,12.5058548,0.10390221,
120031575,41.55765654,11.44141352,0.207138842,
120031576,15.03385106,3.835125448,0.095818815,
121011398,60.73007103,19.16140489,0.164240388,
121011399,41.13418819,13.23279754,0.136142626,
121011400,31.60225265,9.966872792,0.182579126,
121011401,41.2893879,14.11807316,0.139430764,
121011402,24.97953869,7.135416667,0.140203715,0.01767113095238095238
121021403,5.508721349,1.592619288,0.098675497,
121021404,1.477707785,0.445477341,0.112612613,
121021406,19.18402082,5.173207849,0.100997506,
121021577,48.92175944,17.29855975,0.160725453,
121021578,17.82988871,5.200317965,0.14781491,
121021579,49.21401515,15.23200758,0.12195122,
121031407,19.47990746,5.83497558,0.176658389,
121031408,20.67525469,6.249052791,0.178405434,
121031409,16.79543459,4.853185055,0.16556583,
121031410,12.33322083,3.501518731,0.154652137,
121031411,9.667199535,2.952574723,0.156959526,
121031412,14.10444961,4.048172882,0.186685289,
121041413,63.31583822,22.19820932,0.157293497,
121041414,65.33941236,21.13812901,0.167004733,
121041415,35.21965318,11.15722543,0.159687722,
121041416,86.8611488,33.00768883,0.153551532,
121041417,61.75026123,21.31138976,0.092811778,
122011418,28.2325887,7.583442838,0.142529614,0.01971090670170827858
122011419,35.66740906,11.24276169,0.153666667,
122021420,15.2614455,4.787357657,0.108333333,
122021421,1.758512302,0.499357416,0.090255069,
122021422,24.03414971,7.549154881,0.122198506,
122021423,21.91288691,5.678641859,0.113522096,
122031424,33.68578669,9.027873762,0.098872507,
122031425,10.48451682,2.999199146,0.071276596,
122031426,65.87036582,22.84065799,0.154579362,
122031427,15.00951741,4.332101668,0.125636672,
122031428,8.802270012,2.35298022,0.096316323,
122031429,31.6327951,9.853841871,0.104448267,
122031430,19.06243318,5.686337396,0.127224786,
122031431,36.72298241,11.34599274,0.106622241,
122031432,0.538103878,0.145441143,0.120135364,
123011433,5.115488871,1.448860383,0.144094488,
123011434,10.63738916,2.829023722,0.108784177,
123011435,11.62240759,3.146858499,0.085418934,
123021436,5.352466172,1.47370144,0.112,
123021437,14.06677335,3.898748909,0.207568807,
123021438,9.150848715,2.270803334,0.074494949,
123021439,,0,0,
123021440,7.036773505,1.481289822,0.077862595,
123021441,7.202909583,2.111985114,0.115666179,
123021442,15.33025346,3.291921588,0.105815062,
123021443,16.9491662,4.287440586,0.081040892,
123021444,4.47081089,1.187945844,0.105446118,
123031445,0.871611751,0.25143498,0.062360802,
123031446,0.361032744,0.094914225,0.084745763,
123031447,0.918339406,0.269025002,0.093984962,
123031448,0.290919795,0.081521992,0.066009852,
124011449,0.406128562,0.165353369,0.210762332,
124011450,6.53364316,2.087963898,0.151982379,
124011451,0.000218474,0.000100834,0,
124011452,3.356249847,1.236268441,0.230172414,
124011453,2.446946915,0.875722482,0.146067416,
124011454,3.173329505,1.016722888,0.151854444,
124011455,2.977752424,1.091937631,0.199530516,
124021456,0,0,0,
124031457,24.25383331,7.435858509,0.088586031,
124031458,3.59327153,0.938098634,0.067375887,
124031459,10.54516456,3.203566768,0.089390963,
124031460,23.64995126,6.443192895,0.115485564,
124031461,19.58970947,6.133288978,0.091750842,
124031462,14.87199601,3.482849604,0.14375,
124031463,0.655100266,0.167319981,0.070069204,
124031464,13.58379835,3.663652107,0.179752066,
124031465,0.848083755,0.245543434,0.053742802,
124041466,1.899615658,0.529776492,0.149029982,
124041467,6.906291245,1.89133304,0.124501197,
124041468,0.949457242,0.202244708,0.062653563,
124051469,7.825827972,2.23969502,0.094527363,
124051470,28.25930039,8.312048862,0.085173502,
124051580,25.95227859,6.766981943,0.073809524,
124051581,13.05557715,3.424795958,0.080171797,
125011473,18.78707157,5.087018292,0.120769505,
125011475,0.009950249,0,0,
125011582,49.75890705,10.42593089,0.118051576,
125011583,59.08440629,14.69241774,0.087319666,
125011584,37.50719868,7.35088441,0.085365854,
125011585,45.50071874,11.21705798,0.085419735,
125011586,33.98500937,7.151780137,0.12688172,
125011587,26.26168224,7.397934088,0.091388401,
125021476,30.15185717,7.842191668,0.15015361,
125021477,23.18195641,4.996452103,0.100712589,
125021478,30.92659645,6.631007242,0.125647668,
125031479,26.91937259,6.26444689,0.09375,
125031480,28.38585434,6.960784314,0.053288926,
125031481,39.80385164,9.45256776,0.086614173,
125031482,23.42729344,6.193771626,0.093650794,
125031483,32.91200706,6.983519717,0.112290503,
125031484,40.1610247,9.650503202,0.074195666,
125031485,45.50826016,10.61318649,0.101883891,
125031486,0.081357508,0,0.014619883,
125031487,0.110630111,0.014430014,0.015789474,
125041489,33.64395978,9.488740972,0.123038811,
125041490,15.4203869,4.246651786,0.137971698,
125041491,37.19197708,10.15675038,0.23518851,
125041492,38.49829352,11.17688596,0.122755082,
125041493,30.61764706,7.605614973,0.09686221,
125041494,25.775069,7.674793008,0.138271605,
125041588,30.87180636,6.196772748,0.08478803,
125041589,42.70071138,10.51321138,0.196567863,
126011495,32.62583042,9.001238599,0.165896844,0.00675599594640243216
126011496,16.14412517,4.570482925,0.189756098,0.00451331427711749662
126021497,34.05882353,8.519181586,0.18902439,
126021498,32.40882103,9.826123834,0.141911069,
126021499,26.20091544,6.757407854,0.173117523,
126021500,21.77567466,4.711394303,0.11747713,
126021501,20.8420376,5.518238792,0.150972763,
126021503,43.61644407,14.29674457,0.129204485,
126021590,28.40684661,7.445687953,0.14801444,
126021591,41.11860209,12.0156852,0.13559322,
127011504,32.80981146,8.885227897,0.127952756,
127011505,0.823826943,0.212527661,0.053041018,
127011506,1.70723032,0.387398023,0.061736334,
127011592,0.035273369,0.010240655,0,
127011593,19.53308431,4.602454642,0.098976109,
127011594,40.69984448,8.559875583,0.117728532,
127011595,25.42200957,5.441148325,0.077380952,
127011596,30.38293747,7.07464857,0.109004739,
127011597,17.90132786,3.947965022,0.077375122,
127021509,32.41086915,7.242243207,0.090375587,
127021510,20.8491855,5.300052549,0.101173021,
127021511,34.34570827,7.635597683,0.157051282,
127021512,33.86674153,8.117162643,0.115550756,
127021513,40.38774003,8.879246677,0.141626794,
127021514,33.38501292,7.906976744,0.099861304,
127021515,44.12293144,11.3144208,0.140762463,
127021516,43.08184143,9.183716965,0.135557873,
127021517,23.96480616,5.680505911,0.107505071,
127021518,0.828757752,0.204346358,0.052959502,
127021519,28.61161525,7.413793103,0.090452261,
127021520,31.34034893,7.535308779,0.08974359,
127021521,0.053757158,0,0.027170703,
127031522,23.31447964,4.850113122,0.111721612,
127031523,13.68046929,3.541752933,0.074043603,
127031524,2.944233379,0.731614654,0.12630662,
127031598,46.81911695,11.77876246,0.158748552,
127031599,35.50620133,8.355927315,0.082251082,
127031600,13.59963204,3.119162185,0.090527578,
127031601,13.91397849,4.260215054,0.103030303,
128011529,31.14349776,8.801310797,0.115411682,
128011530,31.64082041,9.122894781,0.152458277,
128011531,27.5531039,7.325868599,0.101260322,
128011602,31.001001,8.611111111,0.104288499,
128011603,30.88943489,7.950859951,0.103716508,
128011604,9.883605054,3.602662734,0.129979879,
128011605,25.6884343,7.1754524,0.101809955,
128011606,24.81971154,6.439302885,0.12012987,
128021533,2.416714948,0.711181924,0.095490716,
128021534,14.73828446,4.154562894,0.108963093,
128021535,6.482861847,1.653345308,0.124137931,
128021536,24.79955081,6.6603032,0.113764928,
128021537,0.00200956,0.00028708,1,
128021538,28.05931657,8.928433269,0.132310642,
128021607,19.45945946,5.82867992,0.136485281,
128021608,19.31841831,5.663371488,0.088729017,
128021609,11.7341409,3.347146956,0.084942085,
